,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,496.0
2,0.06315789473684211,0.06369426751592357,0.06342494714587738,471.0
3,0.0,0.0,0.0,420.0
4,0.044802867383512544,0.05091649694501019,0.047664442326024785,491.0
5,0.02321083172147002,0.022556390977443608,0.022878932316491896,532.0
6,0.0,0.0,0.0,537.0
accuracy,0.022734984730234137,0.022734984730234137,0.022734984730234137,0.022734984730234137
macro avg,0.018738799120260666,0.019595307919768195,0.019138331684056296,2947.0
weighted avg,0.021748808545021835,0.022734984730234137,0.022208341798493417,2947.0
